MONTH_END,CODE,CODE_DISPLAY_NAME,PRICE_TYPE_DESCRIPTION,VALUE
2010-02-28,PA0007456,Base oil Group 1 SN 150 fob Asia,value high,730.0
2010-02-28,PA0007457,Base oil Group 1 SN 500 fob Asia,value high,830.0
2010-02-28,PA0007458,Base oil Group 1 Bright stock fob Asia,value high,940.0
2010-02-28,PA0007459,Base oil Group 2 N150 ex-tank Singapore,value high,830.0
2010-02-28,PA0007460,Base oil Group 2 N500 ex-tank Singapore,value high,945.0
2010-02-28,PA0007461,Base oil Group 2 N150 fob Asia,value high,775.0
2010-02-28,PA0007462,Base oil Group 2 N500 fob Asia,value high,850.0
2010-02-28,PA0007463,Base oil Group 1 SN 500 Asia-Pacific month,value high,832.5
2010-02-28,PA0007464,Base oil Group 1 SN 500 Asia-Pacific quarter,value high,851.3
2010-02-28,PA0007467,Base oil Group 1 SN 150 cfr Northeast Asia,value high,770.0
2010-02-28,PA0007468,Base oil Group 1 SN 500 cfr Northeast Asia,value high,875.0
2010-02-28,PA0007469,Base oil Group 1 Bright stock cfr Northeast Asia,value high,1015.0
2010-02-28,PA0007470,Base oil Group 2 N150 cfr Northeast Asia,value high,800.0
2010-02-28,PA0007471,Base oil Group 2 N500 cfr Northeast Asia,value high,880.0
2010-02-28,PA0007481,Base oil Group 1 SN 150 China NE Daqing domestic $/t,value high,1128.0
2010-02-28,PA0007482,Base oil Group 1 SN 150 China NE Dalian domestic $/t,value high,1143.0
2010-02-28,PA0007483,Base oil Group 1 SN 150 China N Yanshan domestic $/t,value high,1137.0
2010-02-28,PA0007484,Base oil Group 1 SN 150 China S Maoming domestic $/t,value high,1099.0
2010-02-28,PA0007485,Base oil Group 1 SN 400 China NE Dalian domestic $/t,value high,1275.0
2010-02-28,PA0007486,Base oil Group 1 SN 400 China S Maoming domestic $/t,value high,1114.0
2010-02-28,PA0007487,Base oil Group 2 N150 China E Qaoqiao domestic $/t,value high,1245.0
2010-02-28,PA0007493,Base oil Group 1 SN 150 cfr Northeast Asia inc. taxes and duty $/t,value high,1180.0
2010-02-28,PA0007494,Base oil Group 1 SN 500 cfr Northeast Asia inc. taxes and duty $/t,value high,1310.0
2010-02-28,PA0007495,Base oil Group 1 Bright stock cfr Northeast Asia inc. taxes and duty $/t,value high,1484.0
2010-02-28,PA0007496,Base oil Group 2 N150 cfr Northeast Asia inc. taxes and duty $/t,value high,1217.0
2010-02-28,PA0007497,Base oil Group 2 N500 cfr Northeast Asia inc. taxes and duty $/t,value high,1316.0
2010-02-28,PA0007498,Base oil Group 1 SN 150 cfr India,value high,760.0
2010-02-28,PA0007499,Base oil Group 1 SN 500 cfr India,value high,795.0
2010-02-28,PA0007500,Base oil Group 1 Bright stock cfr India,value high,990.0
2010-02-28,PA0007501,Base oil Group 2 N150 cfr India,value high,780.0
2010-02-28,PA0007502,Base oil Group 2 N500 cfr India,value high,860.0
2010-02-28,PA0007519,Base oil Group 1 SN 150 cfr UAE,value high,820.0
2010-02-28,PA0007520,Base oil Group 1 SN 500 cfr UAE,value high,850.0
2010-02-28,PA0007521,Base oil Group 1 SN 150 fob domestic NWE,value high,850.0
2010-02-28,PA0007522,Base oil Group 1 SN 500 fob domestic NWE,value high,900.0
2010-02-28,PA0007523,Base oil Group 1 Bright stock fob domestic NWE,value high,990.0
2010-02-28,PA0007524,Base oil Group 1 SN 150 fob European export,value high,770.0
2010-02-28,PA0007525,Base oil Group 1 SN 500 fob European export,value high,810.0
2010-02-28,PA0007526,Base oil Group 1 Bright stock fob European export,value high,915.0
2010-02-28,PA0007527,Base oil Group 1 SN 500 fob NWE month,value high,814.4
2010-02-28,PA0007528,Base oil Group 1 SN 500 fob NWE quarter,value high,833.75
2010-02-28,PA0007531,Base oil Group 1 SN 150 fob Baltic Sea,value high,740.0
2010-02-28,PA0007532,Base oil Group 1 SN 500 fob Baltic Sea,value high,750.0
2010-02-28,PA0007533,Base oil Group 1 SN 150 fob Black Sea,value high,755.0
2010-02-28,PA0007534,Base oil Group 1 SN 500 fob Black Sea,value high,765.0
2010-02-28,PA0007535,Base oil Group 1 SN 150 fob United States $/t,value high,720.0
2010-02-28,PA0007536,Base oil Group 1 SN 500 fob United States $/t,value high,970.0
2010-02-28,PA0007537,Base oil Group 1 Bright stock fob United States $/t,value high,956.0
2010-02-28,PA0007541,Base oil Group 2 N100 fob United States $/t,value high,750.0
2010-02-28,PA0007543,Base oil Group 2 N220 fob United States $/t,value high,776.0
2010-02-28,PA0007544,Base oil Group 2 N600 fob United States $/t,value high,1003.0
2010-02-28,PA0007549,Base oil Group 1 SN 150 US domestic $/t,value high,735.0
2010-02-28,PA0007550,Base oil Group 1 SN 500 US domestic $/t,value high,976.0
2010-02-28,PA0007551,Base oil Group 1 Bright stock US domestic $/t,value high,961.0
2010-02-28,PA0007555,Base oil Group 1 SN 500 fob United States $/t month,value high,963.6
2010-02-28,PA0007556,Base oil Group 1 SN 500 fob United States $/t quarter,value high,978.85
2010-02-28,PA0007695,Base oil Group 1 SN 150 fob NWE month,value high,775.0
2010-02-28,PA0007696,Base oil Group 1 SN 150 fob NWE quarter,value high,793.8
2010-03-31,PA0007453,Base oil Group 1 SN 150 ex-tank Singapore,value high,850.0
2010-03-31,PA0007454,Base oil Group 1 SN 500 ex-tank Singapore,value high,960.0
2010-03-31,PA0007455,Base oil Group 1 Bright stock ex-tank Singapore,value high,1100.0
2010-03-31,PA0007456,Base oil Group 1 SN 150 fob Asia,value high,780.0
2010-03-31,PA0007457,Base oil Group 1 SN 500 fob Asia,value high,865.0
2010-03-31,PA0007458,Base oil Group 1 Bright stock fob Asia,value high,1000.0
2010-03-31,PA0007459,Base oil Group 2 N150 ex-tank Singapore,value high,870.0
2010-03-31,PA0007460,Base oil Group 2 N500 ex-tank Singapore,value high,960.0
2010-03-31,PA0007461,Base oil Group 2 N150 fob Asia,value high,795.0
2010-03-31,PA0007462,Base oil Group 2 N500 fob Asia,value high,915.0
2010-03-31,PA0007463,Base oil Group 1 SN 500 Asia-Pacific month,value high,865.3
2010-03-31,PA0007464,Base oil Group 1 SN 500 Asia-Pacific quarter,value high,874.8
2010-03-31,PA0007467,Base oil Group 1 SN 150 cfr Northeast Asia,value high,820.0
2010-03-31,PA0007468,Base oil Group 1 SN 500 cfr Northeast Asia,value high,920.0
2010-03-31,PA0007469,Base oil Group 1 Bright stock cfr Northeast Asia,value high,1060.0
2010-03-31,PA0007470,Base oil Group 2 N150 cfr Northeast Asia,value high,830.0
2010-03-31,PA0007471,Base oil Group 2 N500 cfr Northeast Asia,value high,930.0
2010-03-31,PA0007481,Base oil Group 1 SN 150 China NE Daqing domestic $/t,value high,1143.0
2010-03-31,PA0007482,Base oil Group 1 SN 150 China NE Dalian domestic $/t,value high,1158.0
2010-03-31,PA0007483,Base oil Group 1 SN 150 China N Yanshan domestic $/t,value high,1143.0
2010-03-31,PA0007484,Base oil Group 1 SN 150 China S Maoming domestic $/t,value high,1107.0
2010-03-31,PA0007485,Base oil Group 1 SN 400 China NE Dalian domestic $/t,value high,1283.0
2010-03-31,PA0007486,Base oil Group 1 SN 400 China S Maoming domestic $/t,value high,1121.0
2010-03-31,PA0007487,Base oil Group 2 N150 China E Qaoqiao domestic $/t,value high,1253.0
2010-03-31,PA0007493,Base oil Group 1 SN 150 cfr Northeast Asia inc. taxes and duty $/t,value high,1242.0
2010-03-31,PA0007494,Base oil Group 1 SN 500 cfr Northeast Asia inc. taxes and duty $/t,value high,1366.0
2010-03-31,PA0007495,Base oil Group 1 Bright stock cfr Northeast Asia inc. taxes and duty $/t,value high,1540.0
2010-03-31,PA0007496,Base oil Group 2 N150 cfr Northeast Asia inc. taxes and duty $/t,value high,1254.0
2010-03-31,PA0007497,Base oil Group 2 N500 cfr Northeast Asia inc. taxes and duty $/t,value high,1379.0
2010-03-31,PA0007498,Base oil Group 1 SN 150 cfr India,value high,795.0
2010-03-31,PA0007499,Base oil Group 1 SN 500 cfr India,value high,820.0
2010-03-31,PA0007500,Base oil Group 1 Bright stock cfr India,value high,1030.0
2010-03-31,PA0007501,Base oil Group 2 N150 cfr India,value high,830.0
2010-03-31,PA0007502,Base oil Group 2 N500 cfr India,value high,910.0
2010-03-31,PA0007519,Base oil Group 1 SN 150 cfr UAE,value high,875.0
2010-03-31,PA0007520,Base oil Group 1 SN 500 cfr UAE,value high,890.0
2010-03-31,PA0007521,Base oil Group 1 SN 150 fob domestic NWE,value high,875.0
2010-03-31,PA0007522,Base oil Group 1 SN 500 fob domestic NWE,value high,915.0
2010-03-31,PA0007523,Base oil Group 1 Bright stock fob domestic NWE,value high,1015.0
2010-03-31,PA0007524,Base oil Group 1 SN 150 fob European export,value high,820.0
2010-03-31,PA0007525,Base oil Group 1 SN 500 fob European export,value high,850.0
2010-03-31,PA0007526,Base oil Group 1 Bright stock fob European export,value high,940.0
2010-03-31,PA0007527,Base oil Group 1 SN 500 fob NWE month,value high,837.8
2010-03-31,PA0007528,Base oil Group 1 SN 500 fob NWE quarter,value high,847.3
2010-03-31,PA0007531,Base oil Group 1 SN 150 fob Baltic Sea,value high,770.0
2010-03-31,PA0007532,Base oil Group 1 SN 500 fob Baltic Sea,value high,785.0
2010-03-31,PA0007533,Base oil Group 1 SN 150 fob Black Sea,value high,780.0
2010-03-31,PA0007534,Base oil Group 1 SN 500 fob Black Sea,value high,795.0
2010-03-31,PA0007535,Base oil Group 1 SN 150 fob United States $/t,value high,738.0
2010-03-31,PA0007536,Base oil Group 1 SN 500 fob United States $/t,value high,970.0
2010-03-31,PA0007537,Base oil Group 1 Bright stock fob United States $/t,value high,973.0
2010-03-31,PA0007541,Base oil Group 2 N100 fob United States $/t,value high,847.0
2010-03-31,PA0007543,Base oil Group 2 N220 fob United States $/t,value high,850.0
2010-03-31,PA0007544,Base oil Group 2 N600 fob United States $/t,value high,976.0
2010-03-31,PA0007549,Base oil Group 1 SN 150 US domestic $/t,value high,835.0
2010-03-31,PA0007550,Base oil Group 1 SN 500 US domestic $/t,value high,976.0
2010-03-31,PA0007551,Base oil Group 1 Bright stock US domestic $/t,value high,964.0
2010-03-31,PA0007555,Base oil Group 1 SN 500 fob United States $/t month,value high,984.85
2010-03-31,PA0007556,Base oil Group 1 SN 500 fob United States $/t quarter,value high,1008.2
2010-03-31,PA0007695,Base oil Group 1 SN 150 fob NWE month,value high,810.3
2010-03-31,PA0007696,Base oil Group 1 SN 150 fob NWE quarter,value high,819.8
2010-04-30,PA0007453,Base oil Group 1 SN 150 ex-tank Singapore,value high,905.0
2010-04-30,PA0007454,Base oil Group 1 SN 500 ex-tank Singapore,value high,1005.0
2010-04-30,PA0007455,Base oil Group 1 Bright stock ex-tank Singapore,value high,1140.0
2010-04-30,PA0007456,Base oil Group 1 SN 150 fob Asia,value high,830.0
2010-04-30,PA0007457,Base oil Group 1 SN 500 fob Asia,value high,930.0
2010-04-30,PA0007458,Base oil Group 1 Bright stock fob Asia,value high,1060.0
2010-04-30,PA0007459,Base oil Group 2 N150 ex-tank Singapore,value high,910.0
2010-04-30,PA0007460,Base oil Group 2 N500 ex-tank Singapore,value high,1010.0
2010-04-30,PA0007461,Base oil Group 2 N150 fob Asia,value high,870.0
2010-04-30,PA0007462,Base oil Group 2 N500 fob Asia,value high,970.0
2010-04-30,PA0007463,Base oil Group 1 SN 500 Asia-Pacific month,value high,923.0
2010-04-30,PA0007464,Base oil Group 1 SN 500 Asia-Pacific quarter,value high,942.2
2010-04-30,PA0007467,Base oil Group 1 SN 150 cfr Northeast Asia,value high,880.0
2010-04-30,PA0007468,Base oil Group 1 SN 500 cfr Northeast Asia,value high,990.0
2010-04-30,PA0007469,Base oil Group 1 Bright stock cfr Northeast Asia,value high,1130.0
2010-04-30,PA0007470,Base oil Group 2 N150 cfr Northeast Asia,value high,900.0
2010-04-30,PA0007471,Base oil Group 2 N500 cfr Northeast Asia,value high,1010.0
2010-04-30,PA0007481,Base oil Group 1 SN 150 China NE Daqing domestic $/t,value high,1260.0
2010-04-30,PA0007482,Base oil Group 1 SN 150 China NE Dalian domestic $/t,value high,1274.0
