MONTH_END,CODE,CODE_DISPLAY_NAME,PRICE_TYPE_DESCRIPTION,VALUE
2021-09-30,PA0007535,Base oil Group 1 SN 150 fob United States $/t,value high,1245.0
2021-09-30,PA0007536,Base oil Group 1 SN 500 fob United States $/t,value high,1693.0
2021-09-30,PA0007537,Base oil Group 1 Bright stock fob United States $/t,value high,2281.0
2021-09-30,PA0007541,Base oil Group 2 N100 fob United States $/t,value high,1271.0
2021-09-30,PA0007543,Base oil Group 2 N220 fob United States $/t,value high,1583.0
2021-09-30,PA0007544,Base oil Group 2 N600 fob United States $/t,value high,1791.0
2021-09-30,PA0007549,Base oil Group 1 SN 150 US domestic $/t,value high,1191.0
2021-09-30,PA0007550,Base oil Group 1 SN 500 US domestic $/t,value high,1591.0
2021-09-30,PA0007551,Base oil Group 1 Bright stock US domestic $/t,value high,2281.0
2021-09-30,PA0007555,Base oil Group 1 SN 500 fob United States $/t month,value high,1676.25
2021-09-30,PA0007556,Base oil Group 1 SN 500 fob United States $/t quarter,value high,1675.85
2021-09-30,PA0007695,Base oil Group 1 SN 150 fob NWE month,value high,980.75
2021-09-30,PA0007696,Base oil Group 1 SN 150 fob NWE quarter,value high,978.3
2021-09-30,PA0007756,Base oil Group 1 SN 150 (LVI) cfr India,value high,835.0
2021-09-30,PA0007757,Base oil Group 1 SN 500 (LVI) cfr India,value high,1040.0
2021-09-30,PA0007758,Base oil Group 1 SN 150 (LVI) cfr UAE,value high,935.0
2021-09-30,PA0007759,Base oil Group 1 SN 500 (LVI) cfr UAE,value high,1010.0
2021-09-30,PA0007877,Base oil Group 3 4cst fca NWE $/t,value high,1762.0
2021-09-30,PA0007878,Base oil Group 3 6cst fca NWE $/t,value high,1868.0
2021-09-30,PA0007879,Base oil Group 3 8cst fca NWE $/t,value high,1839.0
2021-09-30,PA0008532,Pale Oil 60 for delivery ex-tank $/t,value high,1076.0
2021-09-30,PA0008533,Pale Oil 100 for delivery ex-tank $/t,value high,1169.0
2021-09-30,PA0008534,Pale Oil 500 for delivery ex-tank $/t,value high,1250.0
2021-09-30,PA0008535,Pale Oil 2000 for delivery ex-tank $/t,value high,1252.0
2021-09-30,PA0008536,Pale Oil 60 fob US $/t,value high,1076.0
2021-09-30,PA0008537,Pale Oil 100 fob US $/t,value high,1161.0
2021-09-30,PA0008538,Pale Oil 500 fob US $/t,value high,1210.0
2021-09-30,PA0008539,Pale Oil 2000 fob US $/t,value high,1232.0
2021-09-30,PA0008610,Base oil Group 2 N100 US domestic $/t,value high,1271.0
2021-09-30,PA0008614,Base oil Group 2 N220 US domestic $/t,value high,1513.0
2021-09-30,PA0008616,Base oil Group 2 N600 US domestic $/t,value high,1683.0
2021-09-30,PA0008712,Base oil Group 3 4cst US domestic $/t,value high,2051.0
2021-09-30,PA0008714,Base oil Group 3 6cst US domestic $/t,value high,1940.0
2021-09-30,PA0008716,Base oil Group 3 8cst US domestic $/t,value high,1940.0
2021-09-30,PA0009050,Base oil Group 3 4cst cfr northeast Asia,value high,1165.0
2021-09-30,PA0009051,Base oil Group 3 6cst cfr northeast Asia,value high,1175.0
2021-09-30,PA0009052,Base oil Group 3 8cst cfr northeast Asia,value high,1055.0
2021-09-30,PA0009053,Base oil Group 3 4cst cfr India,value high,1235.0
2021-09-30,PA0009059,Base oil Group 3 6cst cfr India,value high,1235.0
2021-09-30,PA0009060,Base oil Group 3 8cst cfr India,value high,1220.0
2021-09-30,PA0009331,Base oil Group 3 4cst ex-tank UAE,value high,1360.0
2021-09-30,PA0009332,Base oil Group 3 6cst ex-tank UAE,value high,1370.0
2021-09-30,PA0009333,Base oil Group 3 8cst ex-tank UAE,value high,1360.0
2021-09-30,PA0009335,Base oil Group 2 N150 China Huizhou domestic $/t,value high,1108.0
2021-09-30,PA0009849,Base oil Group 1 SN 400 China NE Fushun domestic $/t,value high,1123.0
2021-09-30,PA0011124,Base oil Group 1 SN 150 cfr Gebze,value high,925.0
2021-09-30,PA0011125,Base oil Group 1 SN 500 cfr Gebze,value high,1210.0
2021-09-30,PA0011607,Base oil Group 1 SN 150 cpt Naushki,value high,720.0
2021-09-30,PA0011608,Base oil Group 1 SN 500 cpt Naushki,value high,840.0
2021-09-30,PA0012401,Base oil Group 2 N150 fca ARA $/t,value high,1530.0
2021-09-30,PA0012402,Base oil Group 2 N600 fca ARA $/t,value high,1916.0
2021-09-30,PA0016258,Base oil Group 3 4cst ex-tank Singapore,value high,1490.0
2021-09-30,PA0016259,Base oil Group 3 6cst ex-tank Singapore,value high,1485.0
2021-09-30,PA0018646,Base oil Group 2 N100 fca ARA $/t,value high,1536.0
2021-09-30,PA0018648,Base oil Group 2 N220 fca ARA $/t,value high,1655.0
2021-09-30,PA0021577,Base oil Group 3 4cst ex-tank E China,value high,11600.0
2021-09-30,PA0021578,Base oil Group 3 6cst ex-tank E China,value high,11600.0
2021-09-30,PA0021579,Base oil Group 2 N150 ex-tank E China,value high,8400.0
2021-09-30,PA0021580,Base oil Group 2 N500 ex-tank E China,value high,10950.0
2021-09-30,PA0021581,Base oil Group 3 8cst ex-tank E China,value high,10600.0
2021-09-30,PA0021903,Base oil Group II N 150 cfr ex-tank UAE,value high,1010.0
2021-09-30,PA0021904,Base oil Group II N 500 cfr ex-tank UAE,value high,1490.0
2021-09-30,PA0023356,Base oil Group II N70 cfr India,value high,770.0
2021-09-30,PA0024503,Base oil Group III 4cst Asia fob,value high,1470.0
2021-09-30,PA0024504,Base oil Group III 6cst Asia fob,value high,1480.0
2021-09-30,PA0024505,Base oil Group III 8cst Asia fob,value high,1400.0
2021-09-30,PA0026170,Base oil Group III (b) 4cst fca NWE USD/t,value high,1708.0
2021-09-30,PA0026171,Base oil Group III (b) 6cst fca NWE USD/t,value high,1797.0
2021-09-30,PA0026172,Base oil Group III (b) 8cst fca NWE USD/t,value high,1785.0
2021-09-30,PA0026266,Base oil Group III (a) 4cst fca NWE USD/t,value high,1821.0
2021-09-30,PA0026267,Base oil Group III (a) 6cst fca NWE USD/t,value high,1969.0
2021-09-30,PA0026268,Base oil Group III (a) 8cst fca NWE USD/t,value high,1886.0
2021-09-30,PA0029014,Base oil Group III 4cst fob Baltic Sea netback,value high,1599.0
2021-09-30,PA0030577,Base oil Group III 4cst cpt Posin,value high,1490.0
2021-09-30,PA0031788,Base oil Bright stock ex-tank UAE,value high,1720.0
2021-09-30,PA0031789,Base oil Bright stock cfr UAE,value high,1620.0
2021-09-30,PA0032970,Base oil Group I Bright stock ex-tank E China domestic USD/t,value high,2447.0
2021-09-30,PA5001357,VGO 0.5% NWE barge snapshot,value high,565.0
2021-09-30,PA5001359,VGO 1.6% NWE barge snapshot,value high,553.75
2021-09-30,PA5001360,Fuel oil straight run M-100 NWE cif snapshot,value high,477.0
2021-09-30,PA5001362,Fuel oil 3.5% NWE barge snapshot,value high,437.5
2021-09-30,PA5001363,Gasoil heating oil German NWE barge snapshot,value high,665.25
2021-10-31,PA0007453,Base oil Group 1 SN 150 ex-tank Singapore,value high,890.0
2021-10-31,PA0007454,Base oil Group 1 SN 500 ex-tank Singapore,value high,1100.0
2021-10-31,PA0007455,Base oil Group 1 Bright stock ex-tank Singapore,value high,1420.0
2021-10-31,PA0007456,Base oil Group 1 SN 150 fob Asia,value high,770.0
2021-10-31,PA0007457,Base oil Group 1 SN 500 fob Asia,value high,970.0
2021-10-31,PA0007458,Base oil Group 1 Bright stock fob Asia,value high,1300.0
2021-10-31,PA0007459,Base oil Group 2 N150 ex-tank Singapore,value high,930.0
2021-10-31,PA0007460,Base oil Group 2 N500 ex-tank Singapore,value high,1360.0
2021-10-31,PA0007461,Base oil Group 2 N150 fob Asia,value high,820.0
2021-10-31,PA0007462,Base oil Group 2 N500 fob Asia,value high,1150.0
2021-10-31,PA0007463,Base oil Group 1 SN 500 Asia-Pacific month,value high,960.0
2021-10-31,PA0007464,Base oil Group 1 SN 500 Asia-Pacific quarter,value high,957.55
2021-10-31,PA0007467,Base oil Group 1 SN 150 cfr Northeast Asia,value high,770.0
2021-10-31,PA0007468,Base oil Group 1 SN 500 cfr Northeast Asia,value high,970.0
2021-10-31,PA0007469,Base oil Group 1 Bright stock cfr Northeast Asia,value high,1360.0
2021-10-31,PA0007470,Base oil Group 2 N150 cfr Northeast Asia,value high,900.0
2021-10-31,PA0007471,Base oil Group 2 N500 cfr Northeast Asia,value high,1170.0
2021-10-31,PA0007481,Base oil Group 1 SN 150 China NE Daqing domestic $/t,value high,1009.0
2021-10-31,PA0007482,Base oil Group 1 SN 150 China NE Dalian domestic $/t,value high,1009.0
2021-10-31,PA0007483,Base oil Group 1 SN 150 China N Yanshan domestic $/t,value high,1009.0
2021-10-31,PA0007484,Base oil Group 1 SN 150 China S Maoming domestic $/t,value high,1009.0
2021-10-31,PA0007485,Base oil Group 1 SN 400 China NE Dalian domestic $/t,value high,1040.0
2021-10-31,PA0007486,Base oil Group 1 SN 400 China S Maoming domestic $/t,value high,1040.0
2021-10-31,PA0007487,Base oil Group 2 N150 China E Qaoqiao domestic $/t,value high,1408.0
2021-10-31,PA0007493,Base oil Group 1 SN 150 cfr Northeast Asia inc. taxes and duty $/t,value high,1225.0
2021-10-31,PA0007494,Base oil Group 1 SN 500 cfr Northeast Asia inc. taxes and duty $/t,value high,1464.0
2021-10-31,PA0007495,Base oil Group 1 Bright stock cfr Northeast Asia inc. taxes and duty $/t,value high,1929.0
2021-10-31,PA0007496,Base oil Group 2 N150 cfr Northeast Asia inc. taxes and duty $/t,value high,1381.0
2021-10-31,PA0007497,Base oil Group 2 N500 cfr Northeast Asia inc. taxes and duty $/t,value high,1701.0
2021-10-31,PA0007498,Base oil Group 1 SN 150 cfr India,value high,790.0
2021-10-31,PA0007499,Base oil Group 1 SN 500 cfr India,value high,1060.0
2021-10-31,PA0007500,Base oil Group 1 Bright stock cfr India,value high,1420.0
2021-10-31,PA0007501,Base oil Group 2 N150 cfr India,value high,860.0
2021-10-31,PA0007502,Base oil Group 2 N500 cfr India,value high,1210.0
2021-10-31,PA0007519,Base oil Group 1 SN 150 cfr UAE,value high,920.0
2021-10-31,PA0007520,Base oil Group 1 SN 500 cfr UAE,value high,1070.0
2021-10-31,PA0007521,Base oil Group 1 SN 150 fob domestic NWE,value high,1060.0
2021-10-31,PA0007522,Base oil Group 1 SN 500 fob domestic NWE,value high,1350.0
2021-10-31,PA0007523,Base oil Group 1 Bright stock fob domestic NWE,value high,1810.0
2021-10-31,PA0007524,Base oil Group 1 SN 150 fob European export,value high,890.0
2021-10-31,PA0007525,Base oil Group 1 SN 500 fob European export,value high,1130.0
2021-10-31,PA0007526,Base oil Group 1 Bright stock fob European export,value high,1545.0
2021-10-31,PA0007527,Base oil Group 1 SN 500 fob NWE month,value high,1120.0
2021-10-31,PA0007528,Base oil Group 1 SN 500 fob NWE quarter,value high,1117.55
2021-10-31,PA0007531,Base oil Group 1 SN 150 fob Baltic Sea,value high,850.0
2021-10-31,PA0007532,Base oil Group 1 SN 500 fob Baltic Sea,value high,1040.0
2021-10-31,PA0007533,Base oil Group 1 SN 150 fob Black Sea,value high,830.0
2021-10-31,PA0007534,Base oil Group 1 SN 500 fob Black Sea,value high,1020.0
2021-10-31,PA0007535,Base oil Group 1 SN 150 fob United States $/t,value high,1191.0
2021-10-31,PA0007536,Base oil Group 1 SN 500 fob United States $/t,value high,1687.0
2021-10-31,PA0007537,Base oil Group 1 Bright stock fob United States $/t,value high,2140.0
2021-10-31,PA0007541,Base oil Group 2 N100 fob United States $/t,value high,1234.0
2021-10-31,PA0007543,Base oil Group 2 N220 fob United States $/t,value high,1559.0
2021-10-31,PA0007544,Base oil Group 2 N600 fob United States $/t,value high,1773.0
2021-10-31,PA0007549,Base oil Group 1 SN 150 US domestic $/t,value high,1160.0
2021-10-31,PA0007550,Base oil Group 1 SN 500 US domestic $/t,value high,1582.0
2021-10-31,PA0007551,Base oil Group 1 Bright stock US domestic $/t,value high,2140.0
2021-10-31,PA0007555,Base oil Group 1 SN 500 fob United States $/t month,value high,1670.3
2021-10-31,PA0007556,Base oil Group 1 SN 500 fob United States $/t quarter,value high,1662.7
2021-10-31,PA0007695,Base oil Group 1 SN 150 fob NWE month,value high,880.0
2021-10-31,PA0007696,Base oil Group 1 SN 150 fob NWE quarter,value high,877.55
2021-10-31,PA0007756,Base oil Group 1 SN 150 (LVI) cfr India,value high,775.0
2021-10-31,PA0007757,Base oil Group 1 SN 500 (LVI) cfr India,value high,1030.0
2021-10-31,PA0007758,Base oil Group 1 SN 150 (LVI) cfr UAE,value high,885.0
2021-10-31,PA0007759,Base oil Group 1 SN 500 (LVI) cfr UAE,value high,1010.0
2021-10-31,PA0007877,Base oil Group 3 4cst fca NWE $/t,value high,1711.0
2021-10-31,PA0007878,Base oil Group 3 6cst fca NWE $/t,value high,1816.0
2021-10-31,PA0007879,Base oil Group 3 8cst fca NWE $/t,value high,1787.0
2021-10-31,PA0008532,Pale Oil 60 for delivery ex-tank $/t,value high,1090.0
2021-10-31,PA0008533,Pale Oil 100 for delivery ex-tank $/t,value high,1225.0
2021-10-31,PA0008534,Pale Oil 500 for delivery ex-tank $/t,value high,1264.0
2021-10-31,PA0008535,Pale Oil 2000 for delivery ex-tank $/t,value high,1264.0
2021-10-31,PA0008536,Pale Oil 60 fob US $/t,value high,1090.0
2021-10-31,PA0008537,Pale Oil 100 fob US $/t,value high,1216.0
2021-10-31,PA0008538,Pale Oil 500 fob US $/t,value high,1224.0
2021-10-31,PA0008539,Pale Oil 2000 fob US $/t,value high,1244.0
2021-10-31,PA0008610,Base oil Group 2 N100 US domestic $/t,value high,1240.0
2021-10-31,PA0008614,Base oil Group 2 N220 US domestic $/t,value high,1498.0
2021-10-31,PA0008616,Base oil Group 2 N600 US domestic $/t,value high,1668.0
2021-10-31,PA0008712,Base oil Group 3 4cst US domestic $/t,value high,2051.0
2021-10-31,PA0008714,Base oil Group 3 6cst US domestic $/t,value high,1940.0
2021-10-31,PA0008716,Base oil Group 3 8cst US domestic $/t,value high,1940.0
2021-10-31,PA0009050,Base oil Group 3 4cst cfr northeast Asia,value high,1155.0
2021-10-31,PA0009051,Base oil Group 3 6cst cfr northeast Asia,value high,1155.0
2021-10-31,PA0009052,Base oil Group 3 8cst cfr northeast Asia,value high,985.0
2021-10-31,PA0009053,Base oil Group 3 4cst cfr India,value high,1235.0
2021-10-31,PA0009059,Base oil Group 3 6cst cfr India,value high,1235.0
2021-10-31,PA0009060,Base oil Group 3 8cst cfr India,value high,1110.0
2021-10-31,PA0009331,Base oil Group 3 4cst ex-tank UAE,value high,1350.0
2021-10-31,PA0009332,Base oil Group 3 6cst ex-tank UAE,value high,1350.0
2021-10-31,PA0009333,Base oil Group 3 8cst ex-tank UAE,value high,1220.0
2021-10-31,PA0009335,Base oil Group 2 N150 China Huizhou domestic $/t,value high,1416.0
2021-10-31,PA0009849,Base oil Group 1 SN 400 China NE Fushun domestic $/t,value high,1040.0
2021-10-31,PA0011124,Base oil Group 1 SN 150 cfr Gebze,value high,870.0
2021-10-31,PA0011125,Base oil Group 1 SN 500 cfr Gebze,value high,1100.0
2021-10-31,PA0011607,Base oil Group 1 SN 150 cpt Naushki,value high,720.0
2021-10-31,PA0011608,Base oil Group 1 SN 500 cpt Naushki,value high,840.0
2021-10-31,PA0012401,Base oil Group 2 N150 fca ARA $/t,value high,1449.0
2021-10-31,PA0012402,Base oil Group 2 N600 fca ARA $/t,value high,1837.0
2021-10-31,PA0016258,Base oil Group 3 4cst ex-tank Singapore,value high,1490.0
2021-10-31,PA0016259,Base oil Group 3 6cst ex-tank Singapore,value high,1485.0
2021-10-31,PA0018646,Base oil Group 2 N100 fca ARA $/t,value high,1455.0
2021-10-31,PA0018648,Base oil Group 2 N220 fca ARA $/t,value high,1576.0
2021-10-31,PA0021577,Base oil Group 3 4cst ex-tank E China,value high,11600.0
2021-10-31,PA0021578,Base oil Group 3 6cst ex-tank E China,value high,11500.0
2021-10-31,PA0021579,Base oil Group 2 N150 ex-tank E China,value high,9100.0
2021-10-31,PA0021580,Base oil Group 2 N500 ex-tank E China,value high,10850.0
2021-10-31,PA0021581,Base oil Group 3 8cst ex-tank E China,value high,10050.0
2021-10-31,PA0021903,Base oil Group II N 150 cfr ex-tank UAE,value high,930.0
2021-10-31,PA0021904,Base oil Group II N 500 cfr ex-tank UAE,value high,1380.0
2021-10-31,PA0023356,Base oil Group II N70 cfr India,value high,850.0
2021-10-31,PA0024503,Base oil Group III 4cst Asia fob,value high,1470.0
2021-10-31,PA0024504,Base oil Group III 6cst Asia fob,value high,1480.0
2021-10-31,PA0024505,Base oil Group III 8cst Asia fob,value high,1370.0
2021-10-31,PA0026170,Base oil Group III (b) 4cst fca NWE USD/t,value high,1659.0
2021-10-31,PA0026171,Base oil Group III (b) 6cst fca NWE USD/t,value high,1752.0
2021-10-31,PA0026172,Base oil Group III (b) 8cst fca NWE USD/t,value high,1735.0
2021-10-31,PA0026266,Base oil Group III (a) 4cst fca NWE USD/t,value high,1764.0
2021-10-31,PA0026267,Base oil Group III (a) 6cst fca NWE USD/t,value high,1910.0
2021-10-31,PA0026268,Base oil Group III (a) 8cst fca NWE USD/t,value high,1828.0
2021-10-31,PA0029014,Base oil Group III 4cst fob Baltic Sea netback,value high,1550.0
2021-10-31,PA0030577,Base oil Group III 4cst cpt Posin,value high,1450.0
2021-10-31,PA0031788,Base oil Bright stock ex-tank UAE,value high,1520.0
2021-10-31,PA0031789,Base oil Bright stock cfr UAE,value high,1440.0
2021-10-31,PA0032970,Base oil Group I Bright stock ex-tank E China domestic USD/t,value high,2188.0
2021-10-31,PA5001357,VGO 0.5% NWE barge snapshot,value high,600.5
2021-10-31,PA5001359,VGO 1.6% NWE barge snapshot,value high,585.0
2021-10-31,PA5001360,Fuel oil straight run M-100 NWE cif snapshot,value high,510.25
2021-10-31,PA5001362,Fuel oil 3.5% NWE barge snapshot,value high,470.75
2021-10-31,PA5001363,Gasoil heating oil German NWE barge snapshot,value high,716.5
2021-11-30,PA0007453,Base oil Group 1 SN 150 ex-tank Singapore,value high,910.0
2021-11-30,PA0007454,Base oil Group 1 SN 500 ex-tank Singapore,value high,1080.0
2021-11-30,PA0007455,Base oil Group 1 Bright stock ex-tank Singapore,value high,1320.0
2021-11-30,PA0007456,Base oil Group 1 SN 150 fob Asia,value high,800.0
2021-11-30,PA0007457,Base oil Group 1 SN 500 fob Asia,value high,920.0
2021-11-30,PA0007458,Base oil Group 1 Bright stock fob Asia,value high,1180.0
2021-11-30,PA0007459,Base oil Group 2 N150 ex-tank Singapore,value high,940.0
2021-11-30,PA0007460,Base oil Group 2 N500 ex-tank Singapore,value high,1300.0
2021-11-30,PA0007461,Base oil Group 2 N150 fob Asia,value high,830.0
2021-11-30,PA0007462,Base oil Group 2 N500 fob Asia,value high,1110.0
2021-11-30,PA0007463,Base oil Group 1 SN 500 Asia-Pacific month,value high,910.0
2021-11-30,PA0007464,Base oil Group 1 SN 500 Asia-Pacific quarter,value high,900.95
2021-11-30,PA0007467,Base oil Group 1 SN 150 cfr Northeast Asia,value high,820.0
2021-11-30,PA0007468,Base oil Group 1 SN 500 cfr Northeast Asia,value high,970.0
2021-11-30,PA0007469,Base oil Group 1 Bright stock cfr Northeast Asia,value high,1290.0
2021-11-30,PA0007470,Base oil Group 2 N150 cfr Northeast Asia,value high,920.0
2021-11-30,PA0007471,Base oil Group 2 N500 cfr Northeast Asia,value high,1150.0
2021-11-30,PA0007481,Base oil Group 1 SN 150 China NE Daqing domestic $/t,value high,1128.0
2021-11-30,PA0007482,Base oil Group 1 SN 150 China NE Dalian domestic $/t,value high,1128.0
2021-11-30,PA0007483,Base oil Group 1 SN 150 China N Yanshan domestic $/t,value high,1128.0
2021-11-30,PA0007484,Base oil Group 1 SN 150 China S Maoming domestic $/t,value high,1128.0
2021-11-30,PA0007485,Base oil Group 1 SN 400 China NE Dalian domestic $/t,value high,1143.0
2021-11-30,PA0007486,Base oil Group 1 SN 400 China S Maoming domestic $/t,value high,1143.0
2021-11-30,PA0007487,Base oil Group 2 N150 China E Qaoqiao domestic $/t,value high,1376.0
2021-11-30,PA0007493,Base oil Group 1 SN 150 cfr Northeast Asia inc. taxes and duty $/t,value high,1285.0
2021-11-30,PA0007494,Base oil Group 1 SN 500 cfr Northeast Asia inc. taxes and duty $/t,value high,1465.0
2021-11-30,PA0007495,Base oil Group 1 Bright stock cfr Northeast Asia inc. taxes and duty $/t,value high,1847.0
2021-11-30,PA0007496,Base oil Group 2 N150 cfr Northeast Asia inc. taxes and duty $/t,value high,1405.0
2021-11-30,PA0007497,Base oil Group 2 N500 cfr Northeast Asia inc. taxes and duty $/t,value high,1680.0
2021-11-30,PA0007498,Base oil Group 1 SN 150 cfr India,value high,810.0
2021-11-30,PA0007499,Base oil Group 1 SN 500 cfr India,value high,990.0
2021-11-30,PA0007500,Base oil Group 1 Bright stock cfr India,value high,1240.0
2021-11-30,PA0007501,Base oil Group 2 N150 cfr India,value high,870.0
2021-11-30,PA0007502,Base oil Group 2 N500 cfr India,value high,1180.0
2021-11-30,PA0007519,Base oil Group 1 SN 150 cfr UAE,value high,850.0
2021-11-30,PA0007520,Base oil Group 1 SN 500 cfr UAE,value high,1000.0
2021-11-30,PA0007521,Base oil Group 1 SN 150 fob domestic NWE,value high,1000.0
2021-11-30,PA0007522,Base oil Group 1 SN 500 fob domestic NWE,value high,1200.0
2021-11-30,PA0007523,Base oil Group 1 Bright stock fob domestic NWE,value high,1610.0
2021-11-30,PA0007524,Base oil Group 1 SN 150 fob European export,value high,810.0
2021-11-30,PA0007525,Base oil Group 1 SN 500 fob European export,value high,1035.0
2021-11-30,PA0007526,Base oil Group 1 Bright stock fob European export,value high,1360.0
2021-11-30,PA0007527,Base oil Group 1 SN 500 fob NWE month,value high,1030.0
2021-11-30,PA0007528,Base oil Group 1 SN 500 fob NWE quarter,value high,1013.85
2021-11-30,PA0007531,Base oil Group 1 SN 150 fob Baltic Sea,value high,770.0
2021-11-30,PA0007532,Base oil Group 1 SN 500 fob Baltic Sea,value high,910.0
2021-11-30,PA0007533,Base oil Group 1 SN 150 fob Black Sea,value high,740.0
2021-11-30,PA0007534,Base oil Group 1 SN 500 fob Black Sea,value high,880.0
2021-11-30,PA0007535,Base oil Group 1 SN 150 fob United States $/t,value high,1067.0
2021-11-30,PA0007536,Base oil Group 1 SN 500 fob United States $/t,value high,1532.0
2021-11-30,PA0007537,Base oil Group 1 Bright stock fob United States $/t,value high,1796.0
2021-11-30,PA0007541,Base oil Group 2 N100 fob United States $/t,value high,1116.0
2021-11-30,PA0007543,Base oil Group 2 N220 fob United States $/t,value high,1421.0
2021-11-30,PA0007544,Base oil Group 2 N600 fob United States $/t,value high,1575.0
2021-11-30,PA0007549,Base oil Group 1 SN 150 US domestic $/t,value high,1118.0
2021-11-30,PA0007550,Base oil Group 1 SN 500 US domestic $/t,value high,1553.0
2021-11-30,PA0007551,Base oil Group 1 Bright stock US domestic $/t,value high,1840.0
2021-11-30,PA0007555,Base oil Group 1 SN 500 fob United States $/t month,value high,1521.3
2021-11-30,PA0007556,Base oil Group 1 SN 500 fob United States $/t quarter,value high,1510.7
2021-11-30,PA0007695,Base oil Group 1 SN 150 fob NWE month,value high,800.0
2021-11-30,PA0007696,Base oil Group 1 SN 150 fob NWE quarter,value high,788.85
2021-11-30,PA0007756,Base oil Group 1 SN 150 (LVI) cfr India,value high,785.0
2021-11-30,PA0007757,Base oil Group 1 SN 500 (LVI) cfr India,value high,980.0
2021-11-30,PA0007758,Base oil Group 1 SN 150 (LVI) cfr UAE,value high,855.0
2021-11-30,PA0007759,Base oil Group 1 SN 500 (LVI) cfr UAE,value high,1000.0
2021-11-30,PA0007877,Base oil Group 3 4cst fca NWE $/t,value high,1692.0
2021-11-30,PA0007878,Base oil Group 3 6cst fca NWE $/t,value high,1796.0
2021-11-30,PA0007879,Base oil Group 3 8cst fca NWE $/t,value high,1767.0
2021-11-30,PA0008532,Pale Oil 60 for delivery ex-tank $/t,value high,1090.0
2021-11-30,PA0008533,Pale Oil 100 for delivery ex-tank $/t,value high,1225.0
2021-11-30,PA0008534,Pale Oil 500 for delivery ex-tank $/t,value high,1264.0
2021-11-30,PA0008535,Pale Oil 2000 for delivery ex-tank $/t,value high,1264.0
2021-11-30,PA0008536,Pale Oil 60 fob US $/t,value high,1090.0
2021-11-30,PA0008537,Pale Oil 100 fob US $/t,value high,1216.0
2021-11-30,PA0008538,Pale Oil 500 fob US $/t,value high,1224.0
2021-11-30,PA0008539,Pale Oil 2000 fob US $/t,value high,1244.0
2021-11-30,PA0008610,Base oil Group 2 N100 US domestic $/t,value high,1197.0
2021-11-30,PA0008614,Base oil Group 2 N220 US domestic $/t,value high,1452.0
2021-11-30,PA0008616,Base oil Group 2 N600 US domestic $/t,value high,1605.0
2021-11-30,PA0008712,Base oil Group 3 4cst US domestic $/t,value high,2035.0
2021-11-30,PA0008714,Base oil Group 3 6cst US domestic $/t,value high,1818.0
2021-11-30,PA0008716,Base oil Group 3 8cst US domestic $/t,value high,1808.0
2021-11-30,PA0009050,Base oil Group 3 4cst cfr northeast Asia,value high,1155.0
2021-11-30,PA0009051,Base oil Group 3 6cst cfr northeast Asia,value high,1155.0
2021-11-30,PA0009052,Base oil Group 3 8cst cfr northeast Asia,value high,935.0
2021-11-30,PA0009053,Base oil Group 3 4cst cfr India,value high,1235.0
2021-11-30,PA0009059,Base oil Group 3 6cst cfr India,value high,1235.0
2021-11-30,PA0009060,Base oil Group 3 8cst cfr India,value high,1030.0
2021-11-30,PA0009331,Base oil Group 3 4cst ex-tank UAE,value high,1350.0
2021-11-30,PA0009332,Base oil Group 3 6cst ex-tank UAE,value high,1350.0
2021-11-30,PA0009333,Base oil Group 3 8cst ex-tank UAE,value high,1190.0
2021-11-30,PA0009335,Base oil Group 2 N150 China Huizhou domestic $/t,value high,1383.0
2021-11-30,PA0009849,Base oil Group 1 SN 400 China NE Fushun domestic $/t,value high,1143.0
2021-11-30,PA0011124,Base oil Group 1 SN 150 cfr Gebze,value high,815.0
2021-11-30,PA0011125,Base oil Group 1 SN 500 cfr Gebze,value high,1030.0
2021-11-30,PA0011607,Base oil Group 1 SN 150 cpt Naushki,value high,670.0
2021-11-30,PA0011608,Base oil Group 1 SN 500 cpt Naushki,value high,760.0
2021-11-30,PA0012401,Base oil Group 2 N150 fca ARA $/t,value high,1351.0
2021-11-30,PA0012402,Base oil Group 2 N600 fca ARA $/t,value high,1703.0
2021-11-30,PA0016258,Base oil Group 3 4cst ex-tank Singapore,value high,1490.0
2021-11-30,PA0016259,Base oil Group 3 6cst ex-tank Singapore,value high,1485.0
2021-11-30,PA0018646,Base oil Group 2 N100 fca ARA $/t,value high,1345.0
2021-11-30,PA0018648,Base oil Group 2 N220 fca ARA $/t,value high,1478.0
2021-11-30,PA0021577,Base oil Group 3 4cst ex-tank E China,value high,11600.0
2021-11-30,PA0021578,Base oil Group 3 6cst ex-tank E China,value high,11500.0
2021-11-30,PA0021579,Base oil Group 2 N150 ex-tank E China,value high,9400.0
2021-11-30,PA0021580,Base oil Group 2 N500 ex-tank E China,value high,10450.0
2021-11-30,PA0021581,Base oil Group 3 8cst ex-tank E China,value high,9700.0
2021-11-30,PA0021903,Base oil Group II N 150 cfr ex-tank UAE,value high,920.0
2021-11-30,PA0021904,Base oil Group II N 500 cfr ex-tank UAE,value high,1330.0
2021-11-30,PA0023356,Base oil Group II N70 cfr India,value high,870.0
2021-11-30,PA0024503,Base oil Group III 4cst Asia fob,value high,1470.0
2021-11-30,PA0024504,Base oil Group III 6cst Asia fob,value high,1480.0
2021-11-30,PA0024505,Base oil Group III 8cst Asia fob,value high,1305.0
